Data Number,Codes,Site Name,Latitude,Longitude,Elevation,Min. Depth,Max Depth,No. Temperatures,Temp. Gradient,No. Conductivities,Conductivity,No. Heat Production,Heat Production,Heat Flow,Red. Heat Flow,No. Sites,Reference No.
SU1164,EFAEHC,KRASNO13,51.6667,107.25,640,60,130,,22,4,2.51,,,55,1,57,72
SU1165,EFAEHC,IVOLGI8,51.6667,107.25,520,20,125,,31,5,1.9,,,58,1,57,72
SU1166,,MUKHOR11,51,107.6667,,,,,,,,,,50,2,,
SU1167,EFAEHC,TEMNIK,50.9167,106.3333,547,30,140,,29,3,1.95,,,57,1,57,72
SU1168,EFAEHC,B-TORKHO,51.9167,109.25,1200,,150,,,23,,,,63,1,57,72
SU1169,EFAEBB,DEPUTATS,69.2833,139.0833,750,20,500,95,26,30,2.9,,,75,4,24,75
SU1170,EFAEBB,ILIN-TAS,65.9167,135.6667,900,20,400,40,25,5,3.03,,,76,2,24,75
SU1171,EBAFHC,AMGA-2,60.6667,131.5833,340,230,1100,45,19,,2.61,,,50,1,24,75
SU1172,EFAEBB,SARDANA,59.9167,136.8333,600,20,600,60,11,17,4.3,,,47,2,29,82
SU1173,EBAEBB,SELIGDAR,58.5833,125.2167,970,20,400,55,14,11,3.2,,,45,3,28,78
SU1174,EBAEBB,TARYNAH,58.25,119.3333,1150,20,500,50,10,18,3.9,,,39,2,35,82
SU1175,EBAEBB,CHULMAN,57,124.7167,800,20,240,55,16,23,3,,,48,5,24,75
SU1176,EBAEBB,DENISOVS,56.8333,125,820,20,360,35,19,5,2.93,,,56,2,35,82
SU1177,EBAEBB,NERUNGRI,56.6667,124.75,900,20,240,35,15,10,3.16,1 0.,6,47,3,35,82
SU1178,EBABHB,TIRET-9,53.6667,102.3333,,,2500,,14,,3.8,,,54,1,59,73
SU1179,EBABHB,KUTULIK,53.4167,102.9667,,,2100,,,,,,,46,1,59,73
SU1180,EBABHB,OSINSK,53.4167,103.8833,,,2400,,16,,,,,46,1,59,73
SU1181,EBABHB,BELSK,52.9167,103.1333,,,1400,,12,,2.8,,,34,1,59,73
SU1182,EBABHB,ATO-1,54,103.4667,,,2773,,10,,,,,34,1,59,73
SU1183,EBABHB,ATO-9,53.9333,103.6333,,,1350,,10,,,,,41,1,59,73
SU1184,EBABHB,AKHINSK5,53.2833,105.1,,,2800,,14,,,,,38,1,59,73
SU1185,EBABHB,AKHINSK3,53.3333,105.0333,,,2843,,15,,,,,39,1,59,73
SU1186,EBABHB,AKHINSK1,53.2667,105,,,825,,16,,,,,39,1,59,73
SU1187,EBABHB,BIRKINS,53.9667,103.6,,,1050,,14,,,,,46,1,59,73
SU1188,EBABHB,TIRETSK,53.6,102.4167,,,1475,,20,,,,,54,1,59,73
SU1189,EBABHB,NUKUTSK,53.7167,103.8,,,2500,,22,,,,,71,1,59,73
SU1190,EBABHB,LISTVEN,54.9333,109.95,,,1160,,22,,2.3,,,50,1,60,75
SU1191,EBABHB,I-PROG14,56.25,102,,,360,,17,,2.8,,,48,1,59,73
SU1192,EBABHB,I-PROGI2,56.25,102,,,320,,8,,3.7,,,29,1,59,73
SU1193,EBABHB,I-PROGI3,56.25,102,,,240,,27,,1.8,,,50,1,59,73
SU1194,EBABHB,I-PROGI4,56.2667,102,,,240,,15,,2.2,,,34,1,59,73
SU1195,EFABHB,BELOGOR,51.3333,129.5,,,800,,31,,1.4,,,43,1,59,73
SU1196,EFABHB,N-AM.SI1,46.9167,134.5833,,,,,,,,,,47,1,59,73
SU1197,EFABHB,N-AM.SI2,51,136.6667,,,,,,,,,,38,1,59,73
SU1198,EFABHB,N-AM.SI3,50.65,137.1833,,,,,,,,,,39,1,59,73
SU1199,EFABHA,"BORIS1,2",43.8167,131.8,40,100,1550,28,31,37,1.52,,,47,1,61,74
SU1200,EFABHB,NADAR514,46.4667,134.2667,80,100,295,13,49,12,0.99,,,48,1,61,74
SU1201,EFABHA,ARSEN406,44.4333,134.8333,590,50,1020,40,28,21,1.49,,,42,1,61,74
SU1202,EFABHA,DOVGAL32,44.6333,135.7167,429,25,1125,44,24,36,1.7,,,41,1,61,74
SU1203,EFABHA,DOVGA210,44.6167,135.6833,385,31,1063,42,28,34,1.46,,,42,1,61,74
SU1204,EFABHB,LEVITS98,44.3667,135.0667,435,35,135,6,34,5,1.32,,,45,1,61,74
SU1205,EFABHA,LISTV168,44.2167,135.1,506,100,383,8,32,13,1.41,,,45,1,61,74
SU1206,EFABHA,NICOL161,44.6167,135.5667,366,100,950,38,28,18,1.51,,,42,1,61,74
SU1207,EFABHA,TEMNOGOR,44.4,135.0833,636,225,392,17,26,8,1.66,,,44,3,61,74
SU1208,EFABHA,VOSTOK-2,46.35,136.35,800,50,475,,22,20,1.96,,,43,1,61,74
SU1209,EFABHB,OCTYABR',50.7,136.5333,600,90,190,15,28,13,1.45,,,41,2,61,74
SU1210,EFABHA,PEREV110,50.8,136.4667,754,424,490,21,37,23,1.1,,,41,1,61,74
SU1211,EFABHB,PEREV471,50.7833,136.4667,676,300,337,14,30,15,1.36,,,41,1,61,74
SU1212,EFABHA,VASIL10P,50.9,128.6,191,500,764,12,47,18,0.92,,,43,1,61,74
